date,start time,stop time,perfect pushup BW,pushup BW,pullup BW,pistol squat with chair BW,cat hairball ST,dog yawn ST,full founder ST,IT band foam roll,piriformis vertical foam roll,piriformis horizontal foam roll,standing hip flexor ST,head to knees straight ST,wall sit BW,in outs BW,pushup BW,child pose ST,runs indoor track,runs outdoor track,runs street,bench,pulley row,bench incline,squat,curl,shoulder fly,cable curls,pulley tricep pulldown,iso lateral super incline press,overhead resistance press,leg press,iso lateral high row,forearm rope curl,dumbell press,standing military press,dumbbell curl,one arm dumbbell row,bench bar row,smith press squat,Dumbell military press,Cable standing superman curls,Cable standing pull downs,Cable standing pull ups,Preacher curls,Deadlift,Leg extension ,shoulder rolls,scapular shrugs,cat-camels,straight arm overhead pull downs band,straight arm chest flies band,dislocates band,wrist mobility ,leg swings front side,full body circles,wall extensions,plank,side plank,reverse plank,hollow hold,arch hold,wall plank,parallel bar support,diamond pushup,vertical row,horizontal row,deep body squat,l sit foot supported,dips floor raised leg
01/14/2017,6:10,6:19,,,,,5;1;165,3;5;165,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/14/2017,23:14,23:24,,,,,5;1;165,,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/15/2017,17:18,17:37,,,,,,,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,,,,,1;10;165,1;10;165,,,,,,,,,,,,,,,,
01/15/2017,17:53,18:55,,,6;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/2017,7:49,7:55,,,,,5;1;165,3;5;165,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/2017,20:04,20:35,,2;10;165||2;15;165,,1;5;165,5;1;165,,1;3;165,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/17/2017,8:16,8:24,,,,,5;1;165,2;5;165,,1;5;165,1;5;165,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/17/2017,18:50,19:05,,,,,5;1;165,3;4;165,1;10;165,1;5;165,1;5;165,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/18/2017,8:36,8:40,,,,,,,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/18/2017,18:22,18:48,,,,,5;1;165,,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,1;10;165,,,,,,,,,,,,,,,,
01/19/2017,7:36,7:48,,,,,3;2;165,3;5;165,1;10;165,1;5;165,1;5;165,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/19/2017,19:26,19:56,,1;20;165||1;15;165||1;10;165||1;5;165,,,,,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,,,,,1;10;165,,,,,,,,,,,,,,,,
1/20/2017,7:40,8:02,,1;20;165,,,5;1;165,3;3;165,1;10;165,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;20;165,,
1/21/2017,13:09,13:55,,1;20;165||1;15;165,1;8;165,,5;1;165,3;3;165,1;10;164,1;5;165,1;5;165,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,1;10;165,,,,1;10;165,1;10;165,,,,,,,,,,,,,,1;20;165,,
1/23/2017,7:40,7:49,,,,,5;1;165,3;3;165,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2017,7:14,7:30,,,,,5;1;165,3;3;165,1;5;165,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2017,13:34,13:55,,,,,5;1;165,3;4;165,1;10;165,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/2017,15:30,16:03,,,,,5;1;165,2;3;165,1;10;165,1;5;165,1;5;165,1;5;165,1;5;165,1;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,1;10;165,,,,,,,,,,,,,,,,
1/30/2017,8:12,8:17,,,,,,,1;10;165,,,,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2017,7:22,7:48,,1;20;165,,,5;1;165,3;3;165,1;10;165,1;5;165,1;5;165,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;10;165,1;10;165,,,,,,,,,,,,,,,,
2/1/2017,19:05,19:08,,,,,,,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/2017,5:25,5:30,,,,,,,,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/2017,7:15,7:30,,,1;6;165||1;7;165||1;10;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/2017,19:28,19:36,,,,,5;1;165,3;3;165,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/2017,10:42,11:26,,1;20;165||1;15;165,1;7;165,,5;1;165,3;3;165,1;5;165,1;5;165,1;5;165,,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/2017,7:55,8:19,,,2;5;165||1;7;165||1;8;165,,5;1;165,3;5;165,,1;5;165,1;5;165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/8/2017,8:09,8:30,,,1;10;158||1;7;158||1;5;158,,5;1;158,3;5;158,1;10;158,1;5;158,1;5;158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/2017,8:02,8:18,,,1;10;158||1;5;158,,3;1;158,3;3;158,1;5;158,1;5;158,1;5;158,,1;5;158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2017,20:06,20:15,,,4;5;158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/2017,10:00,10:17,,,,,,,1;10;156,1;10;156,1;10;156,,1;10;156,1;10;156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
